Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Kim, E., Torous, J., Horng, S., Grossestreuer, A.V., Rodriguez, J., Lee, T., Nathanson, L.A.",57208592372; 55816955800; 54882575400; 55503448100; 57199093211; 57208201690; 8215752900,Mobile device ownership among emergency department patients,2019,International Journal of Medical Informatics,126,,,114,117,,,10.1016/j.ijmedinf.2019.03.020,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063795642&partnerID=40&md5=f687014b3fb19fc2982402f385027aa7,Article,Final,,Scopus,2-s2.0-85063795642
"Wang, G., Lu, R., Huang, C., Guan, Y.L.",57189035937; 57191090555; 57188840689; 57192997201,An efficient and privacy-Preserving pre-clinical guide scheme for mobile eHealthcare,2019,Journal of Information Security and Applications,46,,,271,280,,,10.1016/j.jisa.2019.03.009,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063583970&partnerID=40&md5=673cec263eb04ba377025e51b8ed57c5,Article,Final,,Scopus,2-s2.0-85063583970
"Srilakshmi, A., Mohanapriya, P., Harini, D., Geetha, K.",57200387818; 56429686100; 57191344499; 35177790000,IoT based Smart Health Care System to Prevent Security Attacks in SDN,2019,"5th International Conference on Electrical Energy Systems, ICEES 2019",,,8719236,,,,,10.1109/ICEES.2019.8719236,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067048690&partnerID=40&md5=fcf47e767e99e8adc8fd7191fd56bae1,Conference Paper,Final,,Scopus,2-s2.0-85067048690
"Chen, W., Chen, Z., Cui, F.",55716079700; 56984606000; 56479973700,Collaborative and secure transmission of medical data applied to mobile healthcare,2019,BioMedical Engineering Online,18,1,60,,,,,10.1186/s12938-019-0674-x,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066428600&partnerID=40&md5=7b66f61d33283f4b12cb881697a3c0f8,Article,Final,Open Access,Scopus,2-s2.0-85066428600
"Lemoyne, R., Mastroianni, T., McCandless, C., Whiting, D., Tomycz, N.",55902812400; 24466652800; 57038802700; 7103185066; 23390952200,Evaluation of Machine Learning Algorithms for Classifying Deep Brain Stimulation Respective of 'On' and 'Off' Status,2019,"International IEEE/EMBS Conference on Neural Engineering, NER",2019-March,,8717095,483,488,,,10.1109/NER.2019.8717095,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066735736&partnerID=40&md5=1244d4972faf4aaeb2386c3ce549606b,Conference Paper,Final,,Scopus,2-s2.0-85066735736
"Celosia, G., Cunche, M.",57203205551; 25926257300,DEMO: Himiko: A human interface for monitoring and inferring knowledge on bluetooth-low-energy objects,2019,WiSec 2019 - Proceedings of the 2019 Conference on Security and Privacy in Wireless and Mobile Networks,,,,292,294,,,10.1145/3317549.3326297,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066733284&partnerID=40&md5=dbef7f73a3cb5e01b777bfb4756daead,Conference Paper,Final,,Scopus,2-s2.0-85066733284
"Al-Haidary, M., Nasir, Q.",57209246206; 9734443200,Physically Unclonable Functions (PUFs): A Systematic Literature Review,2019,"2019 Advances in Science and Engineering Technology International Conferences, ASET 2019",,,8714431,,,,,10.1109/ICASET.2019.8714431,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067041468&partnerID=40&md5=59ed01c099d0447a01037b2664184889,Conference Paper,Final,,Scopus,2-s2.0-85067041468
"Kotz, D.",7006805893,Amulet: An open-source wrist-worn platform for mHealth research and education,2019,"2019 11th International Conference on Communication Systems and Networks, COMSNETS 2019",,,8711407,891,897,,,10.1109/COMSNETS.2019.8711407,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066493803&partnerID=40&md5=dddc18930e6686132411a6ba4908df62,Conference Paper,Final,,Scopus,2-s2.0-85066493803
"Kerrigan, A., Kaonga, N.N., Tang, A.M., Jordan, M.R., Hong, S.Y.",57204877380; 55224051300; 7201845826; 26660482400; 36678948800,Content guidance for mobile phones short message service (SMS)-based antiretroviral therapy adherence and appointment reminders: a review of the literature,2019,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,31,5,,636,646,,,10.1080/09540121.2018.1549723,https://www.scopus.com/inward/record.url?eid=2-s2.0-85057602123&partnerID=40&md5=4499bf2bbb706a00d638befe4f222f91,Article,Final,,Scopus,2-s2.0-85057602123
"Cho, E.",57200268241,"Hey Google, can i ask you something in private? The effects of modality and device in sensitive health information acquisition from voice assistants",2019,Conference on Human Factors in Computing Systems - Proceedings,,,,,,,,10.1145/3290605.3300488,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067605487&partnerID=40&md5=513c472df8296843f0aec71863be0766,Conference Paper,Final,,Scopus,2-s2.0-85067605487
"Koutli, M., Theologou, N., Tryferidis, A., Tzovaras, D., Kagkini, A., Zandes, D., Karkaletsis, K., Kaggelides, K., Almela Miralles, J., Oravec, V., Vanya, S.",57209451555; 57193928447; 56968112800; 13105681700; 57210931046; 57210932772; 56728886300; 35810522200; 57210931866; 57205484000; 56644887800,Secure IoT e-Health applications using VICINITY framework and GDPR guidelines,2019,"Proceedings - 15th Annual International Conference on Distributed Computing in Sensor Systems, DCOSS 2019",,,8804811,263,270,,,10.1109/DCOSS.2019.00064,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071912471&partnerID=40&md5=ff53282d0ada7a668fb90efcf517d6af,Conference Paper,Final,,Scopus,2-s2.0-85071912471
"Hatzivasilis, G., Soultatos, O., Ioannidis, S., Verikoukis, C., Demetriou, G., Tsatsoulis, C.",55554489600; 56912325900; 24767420100; 16176716900; 57204374033; 57210932282,Review of security and privacy for the internet of medical things (IoMT): Resolving the protection concerns for the novel circular economy bioinformatics,2019,"Proceedings - 15th Annual International Conference on Distributed Computing in Sensor Systems, DCOSS 2019",,,8804790,457,464,,,10.1109/DCOSS.2019.00091,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071904015&partnerID=40&md5=22aecf17549828618cb8f86570f8c912,Conference Paper,Final,,Scopus,2-s2.0-85071904015
"Papic, A., Buhin, M.",55145310300; 57210314290,Mapping the hot topics in library and information science field in period 2015-2018 year,2019,"2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics, MIPRO 2019 - Proceedings",,,8756693,508,513,,,10.23919/MIPRO.2019.8756693,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070323746&partnerID=40&md5=557eea8dab5a9510b399ad3f8541d469,Conference Paper,Final,,Scopus,2-s2.0-85070323746
"Calado, M.P., Ramos, A., Fabiano, D.",56880481300; 57204305573; 57203309456,EHealth in Hospital Information Management,2019,"2019 IST-Africa Week Conference, IST-Africa 2019",,,8764850,,,,,10.23919/ISTAFRICA.2019.8764850,https://www.scopus.com/inward/record.url?eid=2-s2.0-85069910754&partnerID=40&md5=17bd424dc2af13a850dd837ee8280c6a,Conference Paper,Final,,Scopus,2-s2.0-85069910754
"Ahmed, Y., Naqvi, S., Josephs, M.",57204475750; 57204350465; 57203997776,Cybersecurity Metrics for Enhanced Protection of Healthcare IT Systems,2019,"International Symposium on Medical Information and Communication Technology, ISMICT",2019-May,,8744003,,,,,10.1109/ISMICT.2019.8744003,https://www.scopus.com/inward/record.url?eid=2-s2.0-85069056386&partnerID=40&md5=981e37fc06c575a37b047b76f6aa765b,Conference Paper,Final,,Scopus,2-s2.0-85069056386
"Shah, L.M., Yang, W.E., Demo, R.C., Lee, M.A., Weng, D., Shan, R., Wongvibulsin, S., Spaulding, E.M., Marvel, F.A., Martin, S.S.",57207102568; 56720543700; 57208685522; 57208686542; 57208681886; 57208260595; 56047162800; 57194851390; 6504464522; 55450099100,Technical guidance for clinicians interested in partnering with engineers in mobile health development and evaluation,2019,JMIR mHealth and uHealth,7,5, e14124,,,,,10.2196/14124,https://www.scopus.com/inward/record.url?eid=2-s2.0-85068710006&partnerID=40&md5=dd288851073bf93ec461537f6b74e9a8,Article,Final,Open Access,Scopus,2-s2.0-85068710006
"Wang, J., Du, Y., Coleman, D., Peck, M., Myneni, S., Kang, H., Gong, Y.",57204570073; 57209327502; 57201680075; 57190256525; 35097608700; 57209332935; 22034164400,Mobile and connected health technology needs for older adults aging in place: Cross-sectional survey study,2019,Journal of Medical Internet Research,21,5, e13864,,,,,10.2196/13864,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067413214&partnerID=40&md5=13b202b099501327816c083f89e2d819,Article,Final,Open Access,Scopus,2-s2.0-85067413214
"Shah, L.M., Yang, W.E., Demo, R.C., Lee, M.A., Weng, D., Shan, R., Wongvibulsin, S., Spaulding, E.M., Marvel, F.A., Martin, S.S.",57207102568; 56720543700; 57208685522; 57208686542; 57208681886; 57208260595; 56047162800; 57194851390; 6504464522; 55450099100,Technical guidance for clinicians interested in partnering with engineers in mobile health development and evaluation,2019,Journal of Medical Internet Research,21,5, e14124,,,,,10.2196/14124,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067389329&partnerID=40&md5=3189f766e0cc10058fd15a33205625ec,Review,Final,Open Access,Scopus,2-s2.0-85067389329
"Smelror, R.E., Bless, J.J., Hugdahl, K., Agartz, I.",57202727846; 55582496500; 7006542415; 6701604751,Feasibility and acceptability of using a mobile phone app for characterizing auditory verbal hallucinations in adolescents with early-onset psychosis: Exploratory study,2019,Journal of Medical Internet Research,21,5, e13882,,,,,10.2196/13882,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067386756&partnerID=40&md5=eb2c16cf79ab3b5916c632ec0631c1c9,Article,Final,Open Access,Scopus,2-s2.0-85067386756
"Gill, R., Ogilvie, G., Norman, W.V., Fitzsimmons, B., Maher, C., Renner, R.",57194692494; 57202861259; 42962175800; 35848407400; 57209293226; 35814269600,Feasibility and acceptability of a mobile technology intervention to support postabortion care in British Columbia: Phase i,2019,Journal of Medical Internet Research,21,5, e13387,,,,,10.2196/13387,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067265543&partnerID=40&md5=12e8b6ac9c4f2c003e3efa990bd51925,Article,Final,Open Access,Scopus,2-s2.0-85067265543
"Ding, E.Y., Han, D., Whitcomb, C., Bashar, S.K., Adaramola, O., Soni, A., Saczynski, J., Fitzgibbons, T.P., Moonis, M., Lubitz, S.A., Lessard, D., Hills, M.T., Barton, B., Chon, K., McManus, D.D.",56008011800; 57195625504; 57209297463; 55842445000; 42861094900; 57052306200; 57194515955; 26657265100; 57207520157; 35272809100; 7003699339; 55293781800; 7102770926; 7006498204; 35484994900,Accuracy and usability of a novel algorithm for detection of irregular pulse using a smartwatch among older adults: Observational study,2019,Journal of Medical Internet Research,21,5, e13850,,,,,10.2196/13850,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067258621&partnerID=40&md5=417aac487eac8699091e20720eaf48a6,Article,Final,Open Access,Scopus,2-s2.0-85067258621
"Wickramasinghe, N., John, B., George, J., Vogel, D.",12795213000; 23396177400; 7403558296; 23010700300,Achieving value-based care in chronic disease management: Intervention study,2019,Journal of Medical Internet Research,21,5, e10368,,,,,10.2196/10368,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067247609&partnerID=40&md5=a35509a7ae337bcb67ea9fe087881c0a,Article,Final,Open Access,Scopus,2-s2.0-85067247609
"Motohashi, T., Hirano, T., Okumura, K., Kashiyama, M., Ichikawa, D., Ueno, T.",57209209654; 57209217104; 57209211103; 57209211312; 57209209804; 57209217229,Secure and scalable mhealth data management using blockchain combined with client hashchain: System design and validation,2019,Journal of Medical Internet Research,21,5, e13385,,,,,10.2196/13385,https://www.scopus.com/inward/record.url?eid=2-s2.0-85066832499&partnerID=40&md5=bf9699489c0259cd417bb666d2e97d31,Article,Final,Open Access,Scopus,2-s2.0-85066832499
"Erguera, X.A., Johnson, M.O., Neilands, T.B., Ruel, T., Berrean, B., Thomas, S., Saberi, P.",57208645628; 7406606262; 6602549476; 55939193200; 56491246000; 57200380806; 14021971700,WYZ: A pilot study protocol for designing and developing a mobile health application for engagement in HIV care and medication adherence in youth and young adults living with HIV,2019,BMJ Open,9,5, e030473,,,,,10.1136/bmjopen-2019-030473,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065424092&partnerID=40&md5=c4d908f33a31190c2edc14f6baa4c4b4,Article,Final,Open Access,Scopus,2-s2.0-85065424092
"Parker, L., Halter, V., Karliychuk, T., Grundy, Q.",56662730400; 57208427812; 57196009709; 36237571300,How private is your mental health app data? An empirical study of mental health app privacy policies and practices,2019,International Journal of Law and Psychiatry,64,,,198,204,,,10.1016/j.ijlp.2019.04.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064738524&partnerID=40&md5=aad41e9e0385b9040e69fca8f76a15ad,Article,Final,,Scopus,2-s2.0-85064738524
"Aparicio-Martínez, P., Martínez-Jiménez, M.D.P., Perea-Moreno, A.-J., Vaquero-Álvarez, E., Redel-Macías, M.D., Vaquero-Abellán, M.",57195295376; 15126113900; 57195267993; 57203391398; 36612212900; 6506335970,Is possible to train health professionals in prevention of high-risk pathogens like the Ebola by using the mobile phone?,2019,Telematics and Informatics,38,,,74,86,,,10.1016/j.tele.2018.08.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-85051533231&partnerID=40&md5=d0fe3ebcbe05d7fad6c25b7b639b1e80,Article,Final,,Scopus,2-s2.0-85051533231
"Ayyalraj, M.K., Appavu Alias Balamurugan, S.",57208721619; 22033869800,Patient Health Description using NFC-Tag-M-Health,2019,"Proceedings - 2019 Amity International Conference on Artificial Intelligence, AICAI 2019",,,8701283,642,646,,,10.1109/AICAI.2019.8701283,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065603607&partnerID=40&md5=b0aa6c8e0cce4640ec30a779c7e387d8,Conference Paper,Final,,Scopus,2-s2.0-85065603607
"Mustafa, U., Philip, N.",57208527801; 56030280400,Group-Based Key Exchange for Medical IoT Device-to-Device Communication (D2D) Combining Secret Sharing and Physical Layer Key Exchange,2019,"Proceedings of 12th International Conference on Global Security, Safety and Sustainability, ICGS3 2019",,,8688022,,,,,10.1109/ICGS3.2019.8688022,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065039001&partnerID=40&md5=dfae1859600a79f23d8cdfa0a2a32b42,Conference Paper,Final,,Scopus,2-s2.0-85065039001
"Mustafa, U., Pflugel, E., Philip, N.",57208527801; 6603435464; 56030280400,A Novel Privacy Framework for Secure M-Health Applications: The Case of the GDPR,2019,"Proceedings of 12th International Conference on Global Security, Safety and Sustainability, ICGS3 2019",,,8688019,,,,,10.1109/ICGS3.2019.8688019,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065030056&partnerID=40&md5=a2d0653c3b177f9fb75ab489b2b8bcf5,Conference Paper,Final,,Scopus,2-s2.0-85065030056
"Vignato, J., Landau, E., Duffecy, J., O’Hara, M.W., Segre, L.S.",34977658500; 57203139030; 25228229300; 55516408600; 6603892475,Using mobile health applications for the rapid recruitment of perinatal women,2019,Archives of Women's Mental Health,22,2,,305,308,,,10.1007/s00737-018-0894-2,https://www.scopus.com/inward/record.url?eid=2-s2.0-85050652202&partnerID=40&md5=918b93ea217b3fcef163ba6d315ab8f3,Article,Final,,Scopus,2-s2.0-85050652202
"Chen, W., Chen, Z., Cui, F.",55716079700; 56984606000; 56479973700,Adaptive routing optimization algorithm in community-oriented opportunistic networks for mobile health,2019,Sensors (Switzerland),19,8,1876,,,,,10.3390/s19081876,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065115424&partnerID=40&md5=77cb7e996514cc072d043002404f9cd1,Article,Final,Open Access,Scopus,2-s2.0-85065115424
"Lee, J., Kim, J., Hong, Y.J., Piao, M., Byun, A., Song, H., Lee, H.S.",56734179800; 57209737019; 57207852160; 55617690000; 57190252282; 57189213876; 57197736696,Health information technology trends in social media: Using twitter data,2019,Healthcare Informatics Research,25,2,,99,105,,,10.4258/hir.2019.25.2.99,https://www.scopus.com/inward/record.url?eid=2-s2.0-85070324271&partnerID=40&md5=8c9fafd62314a7355d832d9a16923cf9,Article,Final,,Scopus,2-s2.0-85070324271
"Kumar, A.A., De Costa, A.D., Das, A., Srinivasa, G.A., D'Souza, G., Rodrigues, R.",57209101150; 22936779700; 57209109188; 57209097321; 7004095259; 36537805000,Mobile health for tuberculosis management in south India: Is video-based directly observed treatment an acceptable alternative?,2019,Journal of Medical Internet Research,21,4, e11687,,,,,10.2196/11687,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067875631&partnerID=40&md5=5a31ae5e9da8fb7a5800062ed580cd10,Article,Final,Open Access,Scopus,2-s2.0-85067875631
"Ehrler, F., Lovis1, C., Blondon, K.",22634033200; 57209477975; 24483102300,A mobile phone app for bedside nursing care: Design and development using an adapted software development life cycle model,2019,Journal of Medical Internet Research,21,4, e12551,,,,,10.2196/12551,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067875326&partnerID=40&md5=9cda59a051608be86a767578fb1d3bee,Article,Final,Open Access,Scopus,2-s2.0-85067875326
"Tolou-Shams, M., Yonek, J., Galbraith, K., Bath, E.",14032614300; 46761690300; 57190192130; 6508030598,Text messaging to enhance behavioral health treatment engagement among justice-involved youth: Qualitative and user testing study,2019,Journal of Medical Internet Research,21,4, e10904,,,,,10.2196/10904,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067873876&partnerID=40&md5=93af52190ee233428365a719d0de5377,Article,Final,Open Access,Scopus,2-s2.0-85067873876
"Ning, P., Gao, D., Cheng, P., Schwebel, D.C., Wei, X., Tan, L., Xiao, W., He, J., Fu, Y., Chen, B., Yang, Y., Deng, J., Wu, Y., Yu, R., Li, S., Hu, G.",56927790700; 57209100895; 57195261043; 6603681532; 57207576498; 57201259963; 57195239802; 57209097316; 57203355010; 57203581214; 57193219452; 55178649900; 50562282800; 57199657122; 57202932104; 55347352600,Needs analysis for a parenting app to prevent unintentional injury in newborn babies and toddlers: Focus group and survey study among Chinese caregivers,2019,Journal of Medical Internet Research,21,4, e11957,,,,,10.2196/11957,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067298965&partnerID=40&md5=c6fcba03fcaa9fd3e31d79d53e7eb41d,Article,Final,Open Access,Scopus,2-s2.0-85067298965
"Zhou, L., Bao, J., Watzlaf, V., Parmanto, B.",7404125308; 57205516297; 6603831158; 6602904022,Barriers to and facilitators of the use of mobile health apps from a security perspective: Mixed-methods study,2019,Journal of Medical Internet Research,21,4, e11223,,,,,10.2196/11223,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067295473&partnerID=40&md5=8fb5874b01124ee0ba94287612920e84,Article,Final,Open Access,Scopus,2-s2.0-85067295473
"Setiawan, I.M.A., Zhou, L., Alfikri, Z., Saptono, A., Fairman, A.D., Dicianno, B.E., Parmanto, B.",55396194200; 7404125308; 57205513002; 12760195700; 15032358200; 6507050125; 6602904022,An adaptive mobile health system to support self-management for persons with chronic conditions and disabilities: Usability and feasibility studies,2019,Journal of Medical Internet Research,21,4, e12982,,,,,10.2196/12982,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067285246&partnerID=40&md5=431aca446dfe1cd418a86103f2da8a5b,Article,Final,Open Access,Scopus,2-s2.0-85067285246
"Hartmann, R., Sander, C., Lorenz, N., Böttger, D., Hegerl, U.",57208667243; 24725367000; 57200545327; 56538284400; 7005991260,Utilization of patient-generated data collected through mobile devices: Insights from a survey on attitudes toward mobile self-monitoring and self-management apps for depression,2019,Journal of Medical Internet Research,21,4, e11671,,,,,10.2196/11671,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067282895&partnerID=40&md5=b7f822e9778fb5c912907a9f103f0b67,Article,Final,Open Access,Scopus,2-s2.0-85067282895
"Tarver, W.L., Haggstrom, D.A.",36188829200; 6506832985,The use of cancer-specific patient-centered technologies among underserved populations in the United States: Systematic review,2019,Journal of Medical Internet Research,21,4, e10256,1,18,,,10.2196/10256,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065114988&partnerID=40&md5=703dc5efc8f5dd9c133b08a19aaec87b,Review,Final,Open Access,Scopus,2-s2.0-85065114988
"Tiffin, N., George, A., Lefevre, A.E.",8938267600; 55601925700; 24338221500,How to use relevant data for maximal benefit with minimal risk: Digital health data governance to protect vulnerable populations in low-income and middle-income countries,2019,BMJ Global Health,4,2, e001395,,,,,10.1136/bmjgh-2019-001395,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064988092&partnerID=40&md5=b78f35c3753e961a5c25b689ad033f71,Article,Final,Open Access,Scopus,2-s2.0-85064988092
"Konan, M., Wang, W.",57192385644; 7501758663,A secure mutual batch authentication scheme for patient data privacy preserving in WBAN,2019,Sensors (Switzerland),19,7,1608,,,,,10.3390/s19071608,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064808906&partnerID=40&md5=4fc3618a544417061ab2a163d2ed6faa,Article,Final,Open Access,Scopus,2-s2.0-85064808906
"Marin, I., Goga, N., Doncescu, A.",56572307200; 8727472200; 6602353667,Security of an Electronic Heal Thcare System which Facilitates the Detection of Preeclampsia Through a Smart Bracelet,2019,"Proceedings of the 10th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2018",,,8679088,,,,,10.1109/ECAI.2018.8679088,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064663787&partnerID=40&md5=1e92719fc774615442a200eb8446d0cf,Conference Paper,Final,,Scopus,2-s2.0-85064663787
"Lewis, R.A., Lunney, M., Chong, C., Tonelli, M.",57202516143; 57194235156; 57210754511; 57205297508,Identifying Mobile Applications Aimed at Self-Management in People With Chronic Kidney Disease,2019,Canadian Journal of Kidney Health and Disease,6,,,,,,,10.1177/2054358119834283,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071317292&partnerID=40&md5=eb2460f30ede379226257033f48d0b1c,Article,Final,Open Access,Scopus,2-s2.0-85071317292
"Skrivervik, A.K.",6701417455,Classic electrically small antennas versus In/On-Body antennas: Similarities and differences,2019,"13th European Conference on Antennas and Propagation, EuCAP 2019",,,8739887,,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85068477837&partnerID=40&md5=081ac4057a8105a5937e4d6442a07787,Conference Paper,Final,,Scopus,2-s2.0-85068477837
"Iwaya, L.H., Fischer-Hübner, S., Åhlfeldt, R.-M., Martucci, L.A.",55584463800; 57211016461; 8320686900; 22951095100,Mobile health systems for community-based primary care: identifying controls and mitigating privacy threats,2019,Journal of Medical Internet Research,21,3, e11642,,,,,10.2196/11642,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067895402&partnerID=40&md5=b831d37ea93ef7c0333041e386109d5e,Article,Final,Open Access,Scopus,2-s2.0-85067895402
"Han, M., Chen, J., Lei, Y., Duan, X., Jiao, B.",57209468737; 57210923109; 57210243456; 7202709092; 7006676820,An intelligence security alarming system with fall detection algorithm,2019,"Proceedings of 2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference, ITNEC 2019",,,8729483,2180,2184,,,10.1109/ITNEC.2019.8729483,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067847232&partnerID=40&md5=bed142f809b6be57d9145859f1a713da,Conference Paper,Final,,Scopus,2-s2.0-85067847232
"Steinkamp, J.M., Goldblatt, N., Borodovsky, J.T., LaVertu, A., Kronish, I.M., Marsch, L.A., Schuman-Olivier, Z.",57200859444; 57209326740; 36600078600; 35190490000; 13006307000; 6602976403; 14526066600,Technological interventions for medication adherence in adult mental health and substance use disorders: A systematic review,2019,Journal of Medical Internet Research,21,3, e12493,,,,,10.2196/12493,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067394302&partnerID=40&md5=3ee4b38dd61a9817db18b6f20b9c3f0e,Article,Final,Open Access,Scopus,2-s2.0-85067394302
"Kosse, R.C., Bouvy, M.L., Belitser, S.V., De Vries, T.W., Van Der Wal, P.S., Koster, E.S.",57193721311; 7005167271; 6505784559; 7102016915; 57209310893; 35094113700,Effective engagement of adolescent asthma patients with mobile health-supporting medication adherence,2019,Journal of Medical Internet Research,21,3, e12411,,,,,10.2196/12411,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067299087&partnerID=40&md5=cf3c3124d69c0c975e71c5015da70a94,Article,Final,Open Access,Scopus,2-s2.0-85067299087
"Alturki, R., Gay, V.",57209294326; 57210770469,The development of an Arabic weight-loss app akser waznk: Qualitative results,2019,Journal of Medical Internet Research,21,3, e11785,,,,,10.2196/11785,https://www.scopus.com/inward/record.url?eid=2-s2.0-85067246358&partnerID=40&md5=97dac062c6b41cc2c567efcda3e6bc39,Article,Final,Open Access,Scopus,2-s2.0-85067246358
"Iwaya, L.H., Fischer-Hübner, S., Åhlfeldt, R.-M., Martucci, L.A.",55584463800; 57211016461; 8320686900; 22951095100,Mobile health systems for community-based primary care: identifying controls and mitigating privacy threats,2019,JMIR mHealth and uHealth,7,3, e11642,,,,,10.2196/11642,https://www.scopus.com/inward/record.url?eid=2-s2.0-85064505109&partnerID=40&md5=28ea2ec80dac326806440291bd934b24,Article,Final,Open Access,Scopus,2-s2.0-85064505109
"Keel, S., Scheetz, J., Holloway, E., Han, X., Yan, W., Mueller, A., He, M.",57192643589; 57201291269; 55513014300; 57193664890; 57191887528; 57205867268; 15765257500,Utilisation and perceptions towards smart device visual acuity assessment in Australia: A mixed methods approach,2019,BMJ Open,9,3, e024266,,,,,10.1136/bmjopen-2018-024266,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063353442&partnerID=40&md5=eaeb1b041485473dcf3a861e8ef969bd,Article,Final,Open Access,Scopus,2-s2.0-85063353442
"Law, E.F., Schueller, S.M.",55360824300; 57202738085,Coordinated special issues on eHealth/mHealth in pediatric psychology: Introduction to the clinical practice in pediatric psychology special issue on development and feasibility of eHealth/mHealth technologies for pediatric psychologists in clinical settings,2019,Clinical Practice in Pediatric Psychology,7,1,,1,8,,,10.1037/cpp0000275,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062792416&partnerID=40&md5=7d05baa5cd627dae59aaf8afca5bbeeb,Editorial,Final,Open Access,Scopus,2-s2.0-85062792416
"Harrison, A., Phelps, M., Nerminathan, A., Alexander, S., Scott, K.M.",56919143500; 55515258600; 56919650500; 24366158000; 56433802100,Factors underlying students' decisions to use mobile devices in clinical settings,2019,British Journal of Educational Technology,50,2,,531,545,,,10.1111/bjet.12579,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062094178&partnerID=40&md5=5ca318812f9f037398b672ab83551f59,Article,Final,,Scopus,2-s2.0-85062094178
"Rajan, A., Hashim, A., Akre, V., Walid, H., Nassiri, N., Ahmed, M.",35811087200; 57207914635; 35731074000; 57207915616; 55999752300; 57207908736,The Impacts of Binaural Beats,2019,ITT 2018 - Information Technology Trends: Emerging Technologies for Artificial Intelligence,,,8649538,353,357,,,10.1109/CTIT.2018.8649538,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063219420&partnerID=40&md5=f45e2b47892aefc1f54bf979cfcff742,Conference Paper,Final,,Scopus,2-s2.0-85063219420
"Lopez-Landa, K., Dominguez-Isidro, S., Hernandez-Velazquez, Y., Lopez-Dominguez, E.",57207875582; 48161102800; 57188955580; 26664814900,Development of a security layer in a mobile health system,2019,"Proceedings - 2018 6th International Conference in Software Engineering Research and Innovation, CONISOFT 2018",,,8645893,116,122,,,10.1109/CONISOFT.2018.8645893,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063161183&partnerID=40&md5=c44a57bc7881369b8883ea10f5ed4c86,Conference Paper,Final,,Scopus,2-s2.0-85063161183
"Buro, J.S.",57201981252,App Review Series: Doximity,2019,Journal of Digital Imaging,32,1,,,,,,10.1007/s10278-018-0109-4,https://www.scopus.com/inward/record.url?eid=2-s2.0-85050296676&partnerID=40&md5=92ff01b5018b4a19764dab63a974e86d,Review,Final,,Scopus,2-s2.0-85050296676
